index,name,class,split,height,width,channels,reference_area
0,riped_tomato_10.jpeg,unripe,train,200,250,3,0.25774
1,unriped_tomato_1.jpeg,unripe,test,667,1000,3,0.1331779970760234
2,unriped_tomato_11.jpeg,unripe,test,573,840,3,0.33973214285714287
3,unriped_tomato_12.jpeg,unripe,test,337,600,3,0.13419596354166666
4,unriped_tomato_14.jpeg,unripe,train,1030,1600,3,0.26413352272727275
5,unriped_tomato_15.jpeg,unripe,train,448,800,3,0.5308675699300699
6,unriped_tomato_17.jpeg,unripe,train,257,311,3,0.36138340212264153
7,unriped_tomato_2.jpeg,unripe,train,4000,6016,3,0.4162454044117647
8,unriped_tomato_25.jpeg,unripe,train,440,551,3,0.3665364583333333
9,unriped_tomato_27.jpeg,unripe,train,671,1068,4,0.29556482919254656
10,unriped_tomato_3.jpeg,unripe,train,2448,3264,3,0.18707275390625
11,unriped_tomato_31.jpeg,unripe,train,623,872,3,0.4961364412568306
12,unriped_tomato_34.jpeg,unripe,train,256,389,3,0.14797247023809523
13,unriped_tomato_35.jpeg,unripe,train,964,1000,3,0.29681174089068824
14,unriped_tomato_4.jpeg,unripe,train,600,900,3,0.2782118055555556
15,unriped_tomato_43.jpeg,unripe,test,768,1024,3,0.08534749348958333
16,unriped_tomato_48.jpeg,unripe,train,600,900,3,0.26953125
17,unriped_tomato_51.jpeg,unripe,train,1800,3200,3,0.21888563368055555
18,unriped_tomato_54.jpeg,unripe,validation,1000,800,3,0.45144817073170734
19,unriped_tomato_55.jpeg,unripe,validation,256,347,3,0.41360780423280424
20,unriped_tomato_58.jpeg,unripe,test,261,328,3,0.31516161151960786
21,unriped_tomato_6.jpeg,unripe,test,411,616,3,0.1995842470760234
22,unriped_tomato_61.jpeg,unripe,validation,1920,1381,3,0.38412873641304346
23,unriped_tomato_62.jpeg,unripe,validation,333,500,3,0.5346047794117647
24,unriped_tomato_64.jpeg,unripe,train,444,631,3,0.45147569444444446
25,unriped_tomato_65.jpeg,unripe,validation,2600,3900,3,0.4099049707602339
26,unriped_tomato_7.jpeg,unripe,train,1920,1381,3,0.3778023097826087
27,unriped_tomato_72.jpeg,unripe,test,1280,720,3,0.20079210069444445
28,unriped_tomato_74.jpeg,unripe,train,256,389,3,0.2756463913690476
29,unriped_tomato_8.jpeg,unripe,validation,5200,7792,3,0.3730126096491228
30,unriped_tomato_9.jpeg,unripe,train,2280,3421,3,0.2877604166666667
31,riped_tomato_11.jpeg,ripe,train,324,540,3,0.23686079545454544
32,riped_tomato_12.jpeg,ripe,test,275,400,3,0.05015980113636364
33,riped_tomato_13.jpeg,ripe,train,550,791,3,0.5427712429775281
34,riped_tomato_14.jpeg,ripe,train,350,700,3,0.568756103515625
35,riped_tomato_15.jpeg,ripe,train,533,800,3,0.582625182748538
36,riped_tomato_16.jpeg,ripe,test,998,1200,3,0.2890991784037559
37,riped_tomato_20.jpeg,ripe,train,450,750,3,0.5654170048701299
38,riped_tomato_21.jpeg,ripe,train,1756,1920,3,0.5320679754273504
39,riped_tomato_22.jpeg,ripe,test,450,720,3,0.6950927734375
40,riped_tomato_25.jpeg,ripe,train,1555,971,3,0.1507568359375
41,riped_tomato_28.jpeg,ripe,train,481,860,4,0.33399803321678323
42,riped_tomato_29.jpeg,ripe,validation,376,510,3,0.2966889880952381
43,riped_tomato_3.jpeg,ripe,validation,3534,5294,3,0.17023026315789475
44,riped_tomato_31.jpeg,ripe,train,1000,1500,3,0.6629203216374269
45,riped_tomato_33.jpeg,ripe,train,600,600,3,0.6524200439453125
46,riped_tomato_4.jpeg,ripe,validation,800,1200,3,0.16454221491228072
47,riped_tomato_40.jpeg,ripe,test,838,1000,3,0.5894077034883721
48,riped_tomato_42.jpeg,ripe,train,399,600,3,0.28589154411764706
49,riped_tomato_45.jpeg,ripe,train,555,740,3,0.3022257486979167
50,riped_tomato_46.jpeg,ripe,validation,1408,2048,3,0.38026012073863635
51,riped_tomato_52.jpeg,ripe,train,753,880,3,0.6440496575342466
52,riped_tomato_6.jpeg,ripe,test,1536,2048,3,0.40484619140625
53,riped_tomato_7.jpeg,ripe,train,789,1200,3,0.4678431919642857
54,riped_tomato_73.jpeg,ripe,validation,467,700,3,0.7918722587719298
55,riped_tomato_78.jpeg,ripe,train,1024,1024,3,0.1650543212890625
56,riped_tomato_8.jpeg,ripe,validation,1395,1547,3,0.3026582792207792
57,riped_tomato_80.jpeg,ripe,train,675,1200,3,0.235595703125
58,riped_tomato_82.jpeg,ripe,train,424,784,3,0.16140172101449277
59,riped_tomato_83.jpeg,ripe,validation,490,736,3,0.20379136029411765
60,riped_tomato_9.jpeg,ripe,train,1333,2000,3,0.4136513157894737
61,riped_tomato_97.jpeg,ripe,test,640,960,3,0.5121070906432749
