index,name,class,label,R,G,B,H,S,V,a*,b*,empty_mask,split
0,riped_tomato_10.jpeg,unripe,0,146.4180450439453,167.36569213867188,113.07814025878906,97.9999771118164,0.36354702711105347,0.662796676158905,-15.826264381408691,25.03394317626953,False,train
1,unriped_tomato_1.jpeg,unripe,0,150.17518615722656,182.19381713867188,132.44253540039062,103.53427124023438,0.30737489461898804,0.714957058429718,-19.508695602416992,21.65288734436035,False,test
2,unriped_tomato_11.jpeg,unripe,0,160.80960083007812,216.6708526611328,76.24736022949219,85.66390991210938,0.6603201031684875,0.8520811200141907,-38.089332580566406,60.065216064453125,False,train
3,unriped_tomato_12.jpeg,unripe,0,150.41966247558594,163.14666748046875,138.78102111816406,106.39900970458984,0.19625943899154663,0.6458835601806641,-8.795056343078613,11.310129165649414,False,test
4,unriped_tomato_14.jpeg,unripe,0,139.8278045654297,168.03797912597656,119.13404083251953,98.76005554199219,0.3144226372241974,0.6594396233558655,-18.616451263427734,22.252368927001953,False,train
5,unriped_tomato_15.jpeg,unripe,0,146.99081420898438,177.75706481933594,131.5698699951172,106.50570678710938,0.30023613572120667,0.6973908543586731,-18.775005340576172,20.421749114990234,False,train
6,unriped_tomato_17.jpeg,unripe,0,172.81314086914062,195.1848602294922,91.39517974853516,72.780029296875,0.5511193871498108,0.7654309272766113,-22.369909286499023,47.58339309692383,False,train
7,unriped_tomato_2.jpeg,unripe,0,218.7249755859375,208.77883911132812,107.25537109375,54.692569732666016,0.5151894092559814,0.8657637238502502,-8.729108810424805,49.029632568359375,False,validation
8,unriped_tomato_25.jpeg,unripe,0,118.99359893798828,148.54769897460938,72.89867401123047,86.30860137939453,0.5384596586227417,0.5945135354995728,-22.040441513061523,35.17483901977539,False,train
9,unriped_tomato_27.jpeg,unripe,0,151.53414916992188,180.57403564453125,88.93413543701172,82.19728088378906,0.5163309574127197,0.7081546187400818,-23.99907112121582,42.3526611328125,False,train
10,unriped_tomato_3.jpeg,unripe,0,143.6475372314453,181.35438537597656,50.586181640625,79.30475616455078,0.7317742705345154,0.7171685695648193,-30.448713302612305,57.763423919677734,False,validation
11,unriped_tomato_31.jpeg,unripe,0,151.30868530273438,195.3378143310547,85.8708724975586,84.60003662109375,0.572429895401001,0.7660356760025024,-31.49488639831543,48.68553161621094,False,train
12,unriped_tomato_34.jpeg,unripe,0,193.3916778564453,196.55886840820312,107.03243255615234,60.25117111206055,0.4887027442455292,0.7958889007568359,-13.09750747680664,42.65275192260742,False,validation
13,unriped_tomato_35.jpeg,unripe,0,106.91804504394531,153.33277893066406,41.60143280029297,87.46160125732422,0.7450120449066162,0.6013395190238953,-31.689796447753906,47.1818733215332,False,train
14,unriped_tomato_4.jpeg,unripe,0,170.77894592285156,184.27365112304688,111.51502227783203,80.5283203125,0.3994649052619934,0.7240954637527466,-15.368499755859375,34.5587043762207,False,train
15,unriped_tomato_43.jpeg,unripe,0,48.265926361083984,99.9537353515625,63.01909637451172,139.39907836914062,0.6006836891174316,0.39930903911590576,-24.631624221801758,14.852762222290039,False,test
16,unriped_tomato_51.jpeg,unripe,0,162.39193725585938,167.0171356201172,114.76036071777344,69.86674499511719,0.3652023673057556,0.6863146424293518,-9.351852416992188,26.547855377197266,False,validation
17,unriped_tomato_54.jpeg,unripe,0,115.64801025390625,120.10548400878906,55.73841094970703,68.11569213867188,0.6582851409912109,0.5432311296463013,-9.1649808883667,34.286685943603516,False,train
18,unriped_tomato_55.jpeg,unripe,0,152.7291717529297,152.71759033203125,85.97635650634766,55.90495300292969,0.484195739030838,0.6299964785575867,-9.530628204345703,34.029640197753906,False,train
19,unriped_tomato_58.jpeg,unripe,0,174.02796936035156,191.926513671875,87.18037414550781,70.49272918701172,0.5496626496315002,0.7527995109558105,-20.95977783203125,49.325584411621094,False,train
20,unriped_tomato_6.jpeg,unripe,0,179.83489990234375,197.46890258789062,134.55770874023438,77.40616607666016,0.33126524090766907,0.7805017232894897,-15.49907398223877,28.692466735839844,False,test
