name,class,split,jaccard,feature_shift,llr_best,ok_0,ok_1,ok_2,correct_all
riped_tomato_10.jpeg,unripe,train,0.3525343072155821,3.2606641933313494,,,,,False
unriped_tomato_1.jpeg,unripe,test,0.11317795922781593,5.882070255821609,-16.011910333204064,True,True,True,True
unriped_tomato_11.jpeg,unripe,train,0.9664031620553359,0.13408507111098383,,,,,False
unriped_tomato_12.jpeg,unripe,test,0.29496938606652323,1.3964566709533122,-16.05381745683156,True,True,True,True
unriped_tomato_14.jpeg,unripe,train,0.7248079196217494,0.32985127558662497,,,,,False
unriped_tomato_15.jpeg,unripe,train,0.41310814217292663,3.646801587620126,,,,,False
unriped_tomato_17.jpeg,unripe,train,0.8891915202687367,0.351369002023417,,,,,False
unriped_tomato_2.jpeg,unripe,validation,0.453573840835949,1.95311613280356,,,,,False
unriped_tomato_25.jpeg,unripe,train,0.9206301120872463,0.3875124764107344,,,,,False
unriped_tomato_27.jpeg,unripe,train,0.8506447498937225,0.3831762044957504,,,,,False
unriped_tomato_3.jpeg,unripe,validation,0.34004040737228386,0.3645550791538169,,,,,False
unriped_tomato_31.jpeg,unripe,train,0.9495391990742654,0.1644141137664506,,,,,False
unriped_tomato_34.jpeg,unripe,validation,0.13494019354450923,5.070574543967102,,,,,False
unriped_tomato_35.jpeg,unripe,train,0.9165693986297894,0.1268082826576738,,,,,False
unriped_tomato_4.jpeg,unripe,train,0.4305507685944716,2.7390449747318613,,,,,False
unriped_tomato_43.jpeg,unripe,test,0.1048461673039914,1.7958418704357348,-15.151894987345308,True,True,True,True
unriped_tomato_51.jpeg,unripe,validation,0.3830828133862734,1.030993881187495,,,,,False
unriped_tomato_54.jpeg,unripe,train,0.5053862070436657,2.205535623181499,,,,,False
unriped_tomato_55.jpeg,unripe,train,0.4583467057906561,2.218515441257505,,,,,False
unriped_tomato_58.jpeg,unripe,train,0.9014030472432314,0.40487968959474574,,,,,False
unriped_tomato_6.jpeg,unripe,test,0.15991902834008098,4.957875034965429,-7.866578631981065,True,True,True,True
unriped_tomato_61.jpeg,unripe,validation,0.3682636067330446,2.819954772046558,,,,,False
unriped_tomato_62.jpeg,unripe,train,0.6342549445997722,0.8305879651011189,,,,,False
unriped_tomato_64.jpeg,unripe,train,0.8798461209660183,0.302798946969246,,,,,False
unriped_tomato_65.jpeg,unripe,test,0.4527452331725247,2.6966111085999565,-7.9863050745040916,True,True,True,True
unriped_tomato_72.jpeg,unripe,train,0.24977012050525094,3.934629169273918,,,,,False
unriped_tomato_74.jpeg,unripe,train,0.941437802907916,0.11548073817949912,,,,,False
unriped_tomato_8.jpeg,unripe,validation,0.819863330421826,0.29961804799482783,,,,,False
unriped_tomato_9.jpeg,unripe,test,0.7570855202222908,0.5960901977521919,-8.743845377795825,True,True,True,True
riped_tomato_11.jpeg,ripe,train,0.1460849949061272,4.701368499143535,,,,,False
riped_tomato_12.jpeg,ripe,train,0.059365888255536,3.6603078629663046,,,,,False
riped_tomato_13.jpeg,ripe,train,0.7381687878413443,1.3778580739990274,,,,,False
riped_tomato_14.jpeg,ripe,validation,0.5160786630654963,1.6300323280013984,,,,,False
riped_tomato_15.jpeg,ripe,train,0.7487151248164464,1.1733196939296504,,,,,False
riped_tomato_16.jpeg,ripe,validation,0.7772679666849533,0.6271779307543203,,,,,False
riped_tomato_20.jpeg,ripe,validation,0.8881484605651624,0.3985165256108489,,,,,False
riped_tomato_21.jpeg,ripe,train,0.610418255653357,2.529736625933662,,,,,False
riped_tomato_22.jpeg,ripe,test,0.7528602627204276,0.6667537704458933,27.420799196313723,True,True,True,True
riped_tomato_25.jpeg,ripe,train,0.436249626754255,3.2095706591626887,,,,,False
riped_tomato_28.jpeg,ripe,validation,0.8257673722180631,0.666025178284639,,,,,False
riped_tomato_29.jpeg,ripe,train,0.7691852011416878,0.7312839405082796,,,,,False
riped_tomato_3.jpeg,ripe,train,0.44298457087753135,2.6348160124546562,,,,,False
riped_tomato_31.jpeg,ripe,train,0.7126902549911049,1.1293815268133636,,,,,False
riped_tomato_33.jpeg,ripe,train,0.9895529302756544,0.043117592621731364,,,,,False
riped_tomato_4.jpeg,ripe,train,0.07527736494660077,5.335429219866406,,,,,False
riped_tomato_40.jpeg,ripe,test,0.9357101449275362,0.297883733209117,26.876660253610808,True,True,True,True
riped_tomato_42.jpeg,ripe,train,0.948102548118133,0.06481383484856262,,,,,False
riped_tomato_45.jpeg,ripe,train,0.7667433958127808,0.5479536382467951,,,,,False
riped_tomato_46.jpeg,ripe,train,0.7876852690273078,0.16108134751700917,,,,,False
riped_tomato_52.jpeg,ripe,test,0.5654366445209317,2.0012410951043655,25.648554816255402,True,True,True,True
riped_tomato_6.jpeg,ripe,test,0.6881975446428571,0.1752821133472647,26.661875418115216,True,True,True,True
riped_tomato_7.jpeg,ripe,train,0.6851817124854668,0.5442251231994961,,,,,False
riped_tomato_73.jpeg,ripe,validation,0.5693774777670632,2.2982294819097566,,,,,False
riped_tomato_78.jpeg,ripe,train,0.04876744422939798,6.539869838426511,,,,,False
riped_tomato_8.jpeg,ripe,train,0.4164868509777478,4.508687548262133,,,,,False
riped_tomato_80.jpeg,ripe,validation,0.3598359297315214,4.473860507636958,,,,,False
riped_tomato_82.jpeg,ripe,train,0.5310999897865386,2.1864729503283264,,,,,False
riped_tomato_83.jpeg,ripe,test,0.5051393451308679,1.9101369233869343,25.331370982802625,True,True,True,True
riped_tomato_9.jpeg,ripe,train,0.7498332857006764,0.6043695770262058,,,,,False
riped_tomato_97.jpeg,ripe,test,0.16339173729618792,5.637572678537725,15.529333913094968,True,True,True,True
