index,name,class,split,width,height,channels,reference_area
0,riped_tomato_10.jpeg,unripe,train,250,200,3,0.25774
1,unriped_tomato_1.jpeg,unripe,test,1000,667,3,0.1331779970760234
2,unriped_tomato_11.jpeg,unripe,train,840,573,3,0.33973214285714287
3,unriped_tomato_12.jpeg,unripe,test,600,337,3,0.13419596354166666
4,unriped_tomato_14.jpeg,unripe,train,1600,1030,3,0.26413352272727275
5,unriped_tomato_15.jpeg,unripe,train,800,448,3,0.5308675699300699
6,unriped_tomato_17.jpeg,unripe,train,311,257,3,0.36138340212264153
7,unriped_tomato_2.jpeg,unripe,validation,6016,4000,3,0.4162454044117647
8,unriped_tomato_25.jpeg,unripe,train,551,440,3,0.3665364583333333
9,unriped_tomato_27.jpeg,unripe,train,1068,671,4,0.29556482919254656
10,unriped_tomato_3.jpeg,unripe,validation,3264,2448,3,0.18707275390625
11,unriped_tomato_31.jpeg,unripe,train,872,623,3,0.4961364412568306
12,unriped_tomato_34.jpeg,unripe,validation,389,256,3,0.14797247023809523
13,unriped_tomato_35.jpeg,unripe,train,1000,964,3,0.29681174089068824
14,unriped_tomato_4.jpeg,unripe,train,900,600,3,0.2782118055555556
15,unriped_tomato_43.jpeg,unripe,test,1024,768,3,0.08534749348958333
16,unriped_tomato_51.jpeg,unripe,validation,3200,1800,3,0.21888563368055555
17,unriped_tomato_54.jpeg,unripe,train,800,1000,3,0.45144817073170734
18,unriped_tomato_55.jpeg,unripe,train,347,256,3,0.41360780423280424
19,unriped_tomato_58.jpeg,unripe,train,328,261,3,0.31516161151960786
20,unriped_tomato_6.jpeg,unripe,test,616,411,3,0.1995842470760234
21,unriped_tomato_61.jpeg,unripe,validation,1381,1920,3,0.38412873641304346
22,unriped_tomato_62.jpeg,unripe,train,500,333,3,0.5346047794117647
23,unriped_tomato_64.jpeg,unripe,train,631,444,3,0.45147569444444446
24,unriped_tomato_65.jpeg,unripe,test,3900,2600,3,0.4099049707602339
25,unriped_tomato_72.jpeg,unripe,train,720,1280,3,0.20079210069444445
26,unriped_tomato_74.jpeg,unripe,train,389,256,3,0.2756463913690476
27,unriped_tomato_8.jpeg,unripe,validation,7792,5200,3,0.3730126096491228
28,unriped_tomato_9.jpeg,unripe,test,3421,2280,3,0.2877604166666667
29,riped_tomato_11.jpeg,ripe,train,540,324,3,0.23686079545454544
30,riped_tomato_12.jpeg,ripe,train,400,275,3,0.05015980113636364
31,riped_tomato_13.jpeg,ripe,train,791,550,3,0.5427712429775281
32,riped_tomato_14.jpeg,ripe,validation,700,350,3,0.568756103515625
33,riped_tomato_15.jpeg,ripe,train,800,533,3,0.582625182748538
34,riped_tomato_16.jpeg,ripe,validation,1200,998,3,0.2890991784037559
35,riped_tomato_20.jpeg,ripe,validation,750,450,3,0.5654170048701299
36,riped_tomato_21.jpeg,ripe,train,1920,1756,3,0.5320679754273504
37,riped_tomato_22.jpeg,ripe,test,720,450,3,0.6950927734375
38,riped_tomato_25.jpeg,ripe,train,971,1555,3,0.1507568359375
39,riped_tomato_28.jpeg,ripe,validation,860,481,4,0.33399803321678323
40,riped_tomato_29.jpeg,ripe,train,510,376,3,0.2966889880952381
41,riped_tomato_3.jpeg,ripe,train,5294,3534,3,0.17023026315789475
42,riped_tomato_31.jpeg,ripe,train,1500,1000,3,0.6629203216374269
43,riped_tomato_33.jpeg,ripe,train,600,600,3,0.6524200439453125
44,riped_tomato_4.jpeg,ripe,train,1200,800,3,0.16454221491228072
45,riped_tomato_40.jpeg,ripe,test,1000,838,3,0.5894077034883721
46,riped_tomato_42.jpeg,ripe,train,600,399,3,0.28589154411764706
47,riped_tomato_45.jpeg,ripe,train,740,555,3,0.3022257486979167
48,riped_tomato_46.jpeg,ripe,train,2048,1408,3,0.38026012073863635
49,riped_tomato_52.jpeg,ripe,test,880,753,3,0.6440496575342466
50,riped_tomato_6.jpeg,ripe,test,2048,1536,3,0.40484619140625
51,riped_tomato_7.jpeg,ripe,train,1200,789,3,0.4678431919642857
52,riped_tomato_73.jpeg,ripe,validation,700,467,3,0.7918722587719298
53,riped_tomato_78.jpeg,ripe,train,1024,1024,3,0.1650543212890625
54,riped_tomato_8.jpeg,ripe,train,1547,1395,3,0.3026582792207792
55,riped_tomato_80.jpeg,ripe,validation,1200,675,3,0.235595703125
56,riped_tomato_82.jpeg,ripe,train,784,424,3,0.16140172101449277
57,riped_tomato_83.jpeg,ripe,test,736,490,3,0.20379136029411765
58,riped_tomato_9.jpeg,ripe,train,2000,1333,3,0.4136513157894737
59,riped_tomato_97.jpeg,ripe,test,960,640,3,0.5121070906432749
